transaction_id,store_id,product,category,quantity,unit_price,sale_date,region
TXN1026,ST08,Bluetooth Speaker,Electronics,5.0,19980.94,2024/02/02,West
TXN1007,ST01,Backpack,Accessories,5.0,3507.03,2024-04-06,East
TXN1004,ST04,Backpack,Accessories,5.0,7448.5,02/01/2024,South
TXN1046,ST04,Yoga Mat,Fitness,1.0,,25/05/2024,South
TXN1041,ST03,Yoga Mat,Fitness,1.0,25621.44,2024/03/08,North
TXN1068,ST02,Wall Clock,Home,,9183.16,2024/03/21,West
TXN1039,ST02,Wireless Mouse,Electronics,5.0,21784.91,24/01/2024,West
TXN1016,ST03,Notebook Set,Stationery,2.0,6637.33,23-05-2024,North
TXN1136,ST03,Bluetooth Speaker,Electronics,1.0,4563.22,19-03-2024,North
TXN1140,ST01,Notebook Set,Stationery,5.0,,2024/02/14,East
TXN1085,ST08,Wall Clock,Home,5.0,11266.24,2024/05/20,West
TXN1043,ST04,Notebook Set,Stationery,,25194.83,2024-05-28,South
TXN1059,ST07,LED Desk Lamp,Home,1.0,8221.24,11-01-2024,South
TXN1087,ST08,Office Chair,Furniture,3.0,11603.73,14/03/2024,West
TXN1104,ST03,Notebook Set,Stationery,1.0,15171.2,2024/03/20,North
TXN1042,ST05,Yoga Mat,Fitness,5.0,17309.09,04/05/2024,South
TXN1006,ST02,Yoga Mat,Fitness,1.0,9524.77,29-03-2024,West
TXN1124,ST03,Backpack,Accessories,1.0,22727.9,26-05-2024,North
TXN1052,ST05,LED Desk Lamp,Home,4.0,21726.25,2024-03-18,South
TXN1100,ST06,Office Chair,Furniture,1.0,20376.69,2024-06-15,West
TXN1127,ST03,LED Desk Lamp,Home,5.0,24691.53,22/01/2024,North
TXN1015,ST04,Backpack,Accessories,4.0,23035.36,2024/06/13,South
TXN1073,ST07,Notebook Set,Stationery,5.0,3570.3,2024/04/17,South
TXN1084,ST03,Backpack,Accessories,5.0,25687.84,01-06-2024,North
TXN1009,ST04,Notebook Set,Stationery,1.0,22280.67,2024/01/26,South
TXN1058,ST02,Bluetooth Speaker,Electronics,2.0,14320.67,04/04/2024,West
TXN1071,ST06,Yoga Mat,Fitness,1.0,24685.07,25-03-2024,West
TXN1028,ST04,Notebook Set,Stationery,4.0,25874.34,15-06-2024,South
TXN1122,ST02,Office Chair,Furniture,3.0,6145.32,15-02-2024,West
TXN1083,ST01,Coffee Maker,Appliances,2.0,23877.98,2024/02/01,East
TXN1032,ST02,Coffee Maker,Appliances,,7455.87,04/05/2024,West
TXN1126,ST08,Bluetooth Speaker,Electronics,1.0,10597.18,2024-01-19,West
TXN1134,ST02,Office Chair,Furniture,3.0,20546.18,09/06/2024,West
TXN1121,ST04,Office Chair,Furniture,4.0,7405.04,30-05-2024,South
TXN1077,ST03,Bluetooth Speaker,Electronics,3.0,13546.12,11-06-2024,North
TXN1023,ST03,Running Shoes,Footwear,2.0,14161.04,2024-05-15,North
TXN1018,ST02,Wireless Mouse,Electronics,1.0,4227.02,2024/02/10,West
TXN1129,ST07,Backpack,Accessories,4.0,7940.98,2024/05/30,South
TXN1138,ST05,Coffee Maker,Appliances,5.0,12989.54,2024-01-21,South
TXN1024,ST06,Backpack,Accessories,1.0,3174.0,02-04-2024,West
TXN1078,ST02,Office Chair,Furniture,3.0,6072.27,20/02/2024,West
TXN1088,ST05,Running Shoes,Footwear,3.0,23249.79,21/01/2024,South
TXN1113,ST08,Running Shoes,Footwear,2.0,12829.03,31-03-2024,West
TXN1036,ST01,Yoga Mat,Fitness,3.0,20874.23,28/01/2024,East
TXN1096,ST07,Wall Clock,Home,5.0,17338.09,2024/01/22,South
TXN1069,ST02,Yoga Mat,Fitness,5.0,5184.02,2024/01/12,West
TXN1035,ST07,Backpack,Accessories,1.0,17604.47,2024-06-14,South
TXN1054,ST05,Notebook Set,Stationery,5.0,5712.18,28/03/2024,South
TXN1020,ST01,Bluetooth Speaker,Electronics,5.0,19596.56,13-06-2024,East
TXN1051,ST05,LED Desk Lamp,Home,3.0,22937.21,03-03-2024,South
TXN1137,ST08,Bluetooth Speaker,Electronics,4.0,17998.02,2024/06/28,West
TXN1005,ST07,Running Shoes,Footwear,3.0,4294.82,2024-03-27,South
TXN1013,ST06,Wireless Mouse,Electronics,,21419.33,2024/03/21,West
TXN1089,ST03,Office Chair,Furniture,4.0,18133.51,2024-02-24,North
TXN1066,ST06,Coffee Maker,Appliances,4.0,17762.62,17-05-2024,West
TXN1011,ST05,Bluetooth Speaker,Electronics,5.0,16617.94,16/05/2024,South
TXN1115,ST04,Bluetooth Speaker,Electronics,2.0,18804.92,05/05/2024,South
TXN1012,ST03,Backpack,Accessories,4.0,7236.66,12/06/2024,North
TXN1131,ST04,Notebook Set,Stationery,1.0,4335.37,2024-02-14,South
TXN1123,ST01,Coffee Maker,Appliances,2.0,7348.8,14-01-2024,East
TXN1130,ST05,Wall Clock,Home,5.0,1846.92,26/01/2024,South
TXN1114,ST06,Notebook Set,Stationery,5.0,18319.42,2024-03-11,West
TXN1048,ST05,Office Chair,Furniture,3.0,6433.23,11/04/2024,South
TXN1118,ST08,Coffee Maker,Appliances,5.0,9133.57,20-05-2024,West
TXN1010,ST05,Backpack,Accessories,3.0,4479.21,31/03/2024,South
TXN1074,ST03,Wall Clock,Home,5.0,8033.41,2024-05-20,North
TXN1090,ST07,Yoga Mat,Fitness,3.0,14244.11,2024-04-16,South
TXN1125,ST08,Backpack,Accessories,4.0,9055.14,14-01-2024,West
TXN1040,ST03,Yoga Mat,Fitness,4.0,12669.91,2024-04-12,North
TXN1101,ST01,Office Chair,Furniture,2.0,21867.18,08/06/2024,East
TXN1112,ST08,Wall Clock,Home,5.0,17471.44,2024-03-27,West
TXN1109,ST03,Yoga Mat,Fitness,,19157.54,15-06-2024,North
TXN1060,ST04,Office Chair,Furniture,1.0,9388.54,2024/05/23,South
TXN1135,ST07,Bluetooth Speaker,Electronics,5.0,6076.6,08-02-2024,South
TXN1045,ST01,Coffee Maker,Appliances,1.0,22178.5,2024-01-18,East
TXN1037,ST04,Office Chair,Furniture,5.0,11828.37,18/04/2024,South
TXN1110,ST08,Backpack,Accessories,4.0,21520.38,31-05-2024,West
TXN1133,ST05,Wireless Mouse,Electronics,2.0,7703.3,2024/03/13,South
TXN1053,ST05,Bluetooth Speaker,Electronics,2.0,7095.77,28/01/2024,South
TXN1097,ST03,Backpack,Accessories,2.0,1591.32,07-04-2024,North
TXN1062,ST01,LED Desk Lamp,Home,3.0,20406.33,15/04/2024,East
TXN1117,ST04,Yoga Mat,Fitness,2.0,8168.49,28-05-2024,South
TXN1031,ST01,Bluetooth Speaker,Electronics,1.0,6182.8,09-01-2024,East
TXN1099,ST07,Notebook Set,Stationery,1.0,12385.89,2024-05-18,South
TXN1014,ST05,Bluetooth Speaker,Electronics,2.0,,25-05-2024,South
TXN1056,ST07,Notebook Set,Stationery,1.0,390.12,03-02-2024,South
TXN1076,ST08,Backpack,Accessories,4.0,17662.62,2024/05/10,West
TXN1128,ST02,Coffee Maker,Appliances,4.0,15881.36,07/06/2024,West
TXN1093,ST07,Coffee Maker,Appliances,5.0,20855.61,2024/02/26,South
TXN1033,ST03,Wall Clock,Home,5.0,12446.65,2024/05/01,North
TXN1081,ST08,Yoga Mat,Fitness,2.0,4091.58,2024-06-25,West
TXN1017,ST07,Wall Clock,Home,4.0,9602.31,2024/02/05,South
TXN1092,ST07,Backpack,Accessories,1.0,24527.46,2024/03/17,South
TXN1075,ST05,Notebook Set,Stationery,2.0,11347.13,28-05-2024,South
TXN1086,ST03,Backpack,Accessories,4.0,6960.22,04-03-2024,North
TXN1002,ST02,Wall Clock,Home,4.0,1115.81,24/01/2024,West
TXN1119,ST06,Backpack,Accessories,3.0,8179.21,2024-02-29,West
TXN1047,ST01,Wall Clock,Home,1.0,11073.08,29-05-2024,East
TXN1103,ST08,Notebook Set,Stationery,3.0,4611.18,2024-06-04,West
TXN1072,ST02,Notebook Set,Stationery,5.0,8247.62,14-04-2024,West
TXN1102,ST04,LED Desk Lamp,Home,4.0,17504.09,24/05/2024,South
TXN1057,ST03,Backpack,Accessories,5.0,18434.65,2024-05-23,North
TXN1116,ST08,Backpack,Accessories,4.0,20677.37,24-01-2024,West
TXN1064,ST04,Office Chair,Furniture,4.0,9285.22,28/02/2024,South
TXN1019,ST02,Yoga Mat,Fitness,4.0,15613.33,29-04-2024,West
TXN1106,ST02,Notebook Set,Stationery,5.0,21001.07,2024-05-24,West
TXN1065,ST01,Office Chair,Furniture,4.0,8735.33,18-01-2024,East
TXN1095,ST07,LED Desk Lamp,Home,4.0,23931.22,2024-06-08,South
TXN1055,ST05,Coffee Maker,Appliances,4.0,6752.82,2024-01-14,South
TXN1029,ST08,Coffee Maker,Appliances,4.0,3408.81,2024-02-27,West
TXN1079,ST01,Wireless Mouse,Electronics,2.0,25586.16,2024-06-05,East
TXN1126,ST08,Bluetooth Speaker,Electronics,1.0,10597.18,2024-01-19,West
TXN1050,ST08,Wall Clock,Home,5.0,25898.68,19/01/2024,West
TXN1095,ST07,LED Desk Lamp,Home,4.0,23931.22,2024-06-08,South
TXN1021,ST02,Notebook Set,Stationery,4.0,,01-01-2024,West
TXN1038,ST05,Backpack,Accessories,2.0,22773.29,2024/01/20,South
TXN1049,ST05,Backpack,Accessories,3.0,24174.77,2024-01-19,South
TXN1080,ST08,Yoga Mat,Fitness,5.0,5295.99,2024/06/27,West
TXN1034,ST04,Bluetooth Speaker,Electronics,1.0,17234.86,2024/03/31,South
TXN1044,ST06,Wireless Mouse,Electronics,1.0,15312.36,08/05/2024,West
TXN1008,ST05,Wall Clock,Home,3.0,15136.95,2024-01-18,South
TXN1063,ST05,LED Desk Lamp,Home,1.0,10130.32,2024/01/10,South
TXN1025,ST04,Wireless Mouse,Electronics,2.0,22863.85,2024-01-21,South
TXN1102,ST04,LED Desk Lamp,Home,4.0,17504.09,24/05/2024,South
TXN1030,ST06,Wireless Mouse,Electronics,5.0,14534.78,30/05/2024,West
TXN1098,ST04,Backpack,Accessories,3.0,8972.76,07-04-2024,South
TXN1111,ST06,Office Chair,Furniture,1.0,7467.46,25/04/2024,West
TXN1105,ST07,Office Chair,Furniture,1.0,15515.92,09/06/2024,South
TXN1070,ST01,Coffee Maker,Appliances,5.0,17951.23,20/06/2024,East
TXN1091,ST04,Yoga Mat,Fitness,4.0,23553.35,2024-05-29,South
TXN1130,ST05,Wall Clock,Home,5.0,1846.92,26/01/2024,South
TXN1061,ST03,Office Chair,Furniture,2.0,25387.5,2024/02/15,North
TXN1003,ST04,Coffee Maker,Appliances,5.0,980.97,2024/02/20,South
TXN1067,ST01,Bluetooth Speaker,Electronics,3.0,4888.19,2024-03-08,East
TXN1082,ST02,Yoga Mat,Fitness,2.0,4819.29,2024/06/27,West
TXN1027,ST03,Notebook Set,Stationery,5.0,22720.53,18/04/2024,North
TXN1094,ST04,Notebook Set,Stationery,4.0,12780.0,09-04-2024,South
TXN1120,ST04,Running Shoes,Footwear,,,25/06/2024,South
TXN1139,ST07,Running Shoes,Footwear,5.0,6733.46,24/01/2024,South
TXN1108,ST01,Yoga Mat,Fitness,4.0,3011.35,2024/04/02,East
TXN1022,ST03,Coffee Maker,Appliances,1.0,22671.33,17/03/2024,North
TXN1001,ST02,Wireless Mouse,Electronics,3.0,6592.72,2024-02-05,West
TXN1132,ST03,Wireless Mouse,Electronics,4.0,11876.95,2024/06/01,North
TXN1107,ST06,Coffee Maker,Appliances,4.0,17300.1,18-01-2024,West
